status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
100001,11/4/2023 17:12,0.7132425,227.269,162.0979,104.4128,-123.9907,-0.6441342,16.70616,0.7313001
100001,11/4/2023 17:12,0.7155115,227.2678,162.6127,105.2603,-123.9482,-0.6473067,14.31428,0.3860757
100001,11/4/2023 17:12,0.7156857,227.1849,162.593,104.569,-124.5062,-0.6431338,14.31428,0.3860757
100001,11/4/2023 17:12,0.7175996,227.1706,163.0175,103.6867,-125.7927,-0.636046,14.80769,0.7407767
100001,11/4/2023 17:12,0.7092105,227.2782,161.1881,104.455,-122.763,-0.6480316,14.80769,0.7407767
100001,11/4/2023 17:12,0.7142906,227.1859,162.2767,101.498,-126.6171,-0.6254627,14.18059,0.9634997
100001,11/4/2023 17:12,0.7272646,227.2562,165.2754,106.26,-126.589,-0.6429269,13.93472,0.7634444
100001,11/4/2023 17:12,0.7205473,227.3423,163.8109,106.4862,-124.4778,-0.6500554,12.22679,0.7831821
100001,11/4/2023 17:12,0.7158599,227.2474,162.6773,104.2821,-124.8565,-0.6410365,12.94806,0.3521039
100001,11/4/2023 17:12,0.7078025,227.1306,160.7636,101.5454,-124.6333,-0.6316446,14.12818,1.121811
100001,11/4/2023 17:12,0.7100888,227.1851,161.3216,103.3376,-123.879,-0.6405688,14.46024,0.7755973
100001,11/4/2023 17:12,0.7174258,227.162,162.9719,102.6605,-126.5727,-0.6299276,14.32821,0.9500063
100001,11/4/2023 17:12,0.7212391,227.2114,163.8737,104.3302,-126.3717,-0.6366497,13.99768,0.5225287
100001,11/4/2023 17:12,0.7030302,227.2961,159.7961,102.8023,-122.3375,-0.6433343,13.00463,0.7606872
100001,11/4/2023 17:12,0.712193,227.2962,161.8787,102.0713,-125.6431,-0.6305414,12.36037,0.6298862
100001,11/4/2023 17:12,0.7188148,227.2135,163.3244,103.4585,-126.3772,-0.6334538,14.97411,0.7490988
100001,11/4/2023 17:12,0.7132425,227.1963,162.0461,102.8278,-125.2412,-0.634559,14.04723,0.5981525
