status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
110000,11/8/2023 14:40,6.185999,230.9955,1428.938,738.2094,-1223.483,-0.5166141,83.35126,1.964408
110000,11/8/2023 14:40,6.115107,231.0252,1412.744,739.0038,-1204.042,-0.5230983,83.34337,2.091914
110000,11/8/2023 14:40,6.281328,230.8299,1449.918,761.7802,-1233.675,-0.5253952,83.10462,2.16847
110000,11/8/2023 14:40,6.235246,230.8839,1439.618,755.1013,-1225.692,-0.5245151,83.21372,1.989852
110000,11/8/2023 14:40,6.206865,230.839,1432.786,741.1038,-1226.231,-0.5172465,83.64269,2.065025
110000,11/8/2023 14:40,6.085368,230.7575,1404.244,730.7045,-1199.155,-0.5203543,83.64732,2.105965
110000,11/8/2023 14:40,5.906363,231.0434,1364.626,708.3668,-1166.371,-0.5190923,83.66436,1.924205
110000,11/8/2023 14:40,6.027704,230.714,1390.676,724.2442,-1187.202,-0.5207859,83.56834,2.254072
110000,11/8/2023 14:40,6.1137,230.5748,1409.665,736.6133,-1201.897,-0.522545,83.73553,1.779653
110000,11/8/2023 14:40,6.224798,230.7446,1436.339,742.0549,-1229.806,-0.5166295,83.77751,2.074901
110000,11/8/2023 14:40,6.168418,230.8499,1423.979,745.052,-1213.512,0.5219843,83.15154,1.974107
110000,11/8/2023 14:40,6.062994,230.7592,1399.092,739.9847,-1187.384,-0.5289037,82.48497,2.146987
110000,11/8/2023 14:40,6.152267,230.8983,1420.548,733.3689,-1216.605,-0.5162577,83.70771,2.020158
110000,11/8/2023 14:40,6.177507,230.6229,1424.675,736.7593,-1219.378,-0.5171422,83.69454,2.16872
110000,11/8/2023 14:40,6.189767,230.8397,1428.844,757.6841,-1211.408,-0.5302777,82.8775,2.19644
110000,11/8/2023 14:40,6.138124,230.6687,1415.873,733.554,-1211.031,-0.518093,83.51128,2.010861
110000,11/8/2023 14:40,6.235905,230.6341,1438.212,760.0772,-1220.957,-0.5284876,83.0806,2.571796
110000,11/8/2023 14:40,6.231025,230.6206,1437.003,744.4116,-1229.157,-0.5180308,83.67519,2.241166
110000,11/8/2023 14:40,6.090816,230.8737,1406.209,735.1124,-1198.764,-0.5227618,83.35252,2.203823
110000,11/8/2023 14:40,6.227882,230.6178,1436.26,743.2079,-1229.018,-0.5174604,83.74632,0.8467396
110000,11/8/2023 14:40,6.110681,230.5352,1408.727,730.9984,-1204.223,-0.518907,83.56702,2.065307
110000,11/8/2023 14:40,6.259753,230.5578,1443.235,754.9417,-1230.037,-0.5230898,83.394,1.996318
110000,11/8/2023 14:40,6.321002,230.5289,1457.173,768.5947,-1237.989,-0.5274559,83.01782,2.44777
110000,11/8/2023 14:40,6.095113,230.4353,1404.529,725.911,-1202.396,-0.5168359,83.66299,2.213294
110000,11/8/2023 14:40,6.158182,230.6265,1420.24,753.2775,-1204.016,-0.5303876,82.9485,2.254712
110000,11/8/2023 14:40,6.037315,230.7984,1393.403,729.0261,-1187.473,-0.5231984,83.34238,1.4735
