,status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
37050,110110000,2023-12-05 09:01:05.099,1.458442,231.9512,338.2873,236.1742,-242.1984,-0.6981468,69.62157,1.581353
37051,110110000,2023-12-05 09:01:05.560,1.442831,232.0238,334.771,233.6745,-239.7245,-0.6980129,69.62157,1.581353
37052,110110000,2023-12-05 09:01:06.053,1.418666,231.9622,329.0769,231.3398,-234.0375,-0.702996,71.04551,1.277442
37053,110110000,2023-12-05 09:01:06.517,1.418666,231.9622,329.0769,231.3398,-234.0375,-0.702996,71.04551,1.277442
37054,110110000,2023-12-05 09:01:07.009,1.43926,231.9904,333.8944,230.2532,-241.8036,-0.6895988,69.72,1.477825
37055,110110000,2023-12-05 09:01:07.473,1.43926,231.9904,333.8944,230.2532,-241.8036,-0.6895988,69.72,1.477825
37056,110110000,2023-12-05 09:01:07.967,1.419914,231.9648,329.3702,231.512,-234.2796,-0.7028928,70.17121,1.285036
37057,110110000,2023-12-05 09:01:08.430,1.419914,231.9648,329.3702,231.512,-234.2796,-0.7028928,70.17121,1.285036
37058,110110000,2023-12-05 09:01:09.048,1.436025,231.9712,333.1166,232.5697,-238.4911,-0.6981631,70.00346,1.700939
37059,110110000,2023-12-05 09:01:09.539,1.437122,231.9989,333.4107,233.375,-238.115,-0.6999627,70.00346,1.700939
37060,110110000,2023-12-05 09:01:10.377,1.437122,231.9989,333.4107,233.375,-238.115,-0.6999627,70.76976,1.502497
37061,110110000,2023-12-05 09:01:10.882,1.44697,232.0323,335.7437,232.1903,-242.5108,-0.6915701,70.87269,1.541327
37062,110110000,2023-12-05 09:01:11.373,1.44697,232.0323,335.7437,232.1903,-242.5108,0.6873677,70.87269,1.541327
37063,110110000,2023-12-05 09:01:12.238,1.452775,232.0677,337.1423,232.7729,-243.8887,-0.6904293,70.88749,1.498493
37064,110110000,2023-12-05 09:01:12.783,1.447092,232.0091,335.7384,232.3077,-242.391,-0.6919307,71.13036,1.504846
37065,110110000,2023-12-05 09:01:13.278,1.447092,232.0091,335.7384,232.3077,-242.391,0.6874228,71.13036,1.504846
37066,110110000,2023-12-05 09:01:14.139,1.442454,231.9652,334.5991,231.0354,-242.0314,-0.6904842,70.81794,1.602447
37067,110110000,2023-12-05 09:01:14.687,1.449098,231.9195,336.0741,232.8861,-242.3011,-0.6929606,70.91868,1.493876
37068,110110000,2023-12-05 09:01:15.137,1.449098,231.9195,336.0741,232.8861,-242.3011,0.6876999,70.91868,1.493876
37069,110110000,2023-12-05 09:01:16.085,1.42109,231.8796,329.5218,227.6205,-238.2719,-0.6907603,72.03989,1.358828
37070,110110000,2023-12-05 09:01:16.590,1.420211,231.8828,329.3224,224.744,-240.7143,-0.6824436,72.03989,1.358828
37071,110110000,2023-12-05 09:01:17.038,1.420694,231.8911,329.4463,224.1951,-241.3947,-0.6805211,72.2179,1.347886
37072,110110000,2023-12-05 09:01:17.406,1.420694,231.8911,329.4463,224.1951,-241.3947,-0.6805211,72.2179,1.347886
37073,110110000,2023-12-05 09:01:17.997,1.434081,231.8817,332.5371,225.467,-244.4291,-0.6780205,72.99116,1.584836
37074,110110000,2023-12-05 09:01:18.500,1.434081,231.8817,332.5371,225.467,-244.4291,-0.6780205,72.99116,1.584836
37075,110110000,2023-12-05 09:01:18.952,1.43,231.9404,331.6747,223.968,-244.6353,-0.6752642,72.15769,1.355236
37076,110110000,2023-12-05 09:01:19.323,1.43,231.9404,331.6747,223.968,-244.6353,-0.6752642,72.15769,1.355236
37077,110110000,2023-12-05 09:01:19.905,1.3919,231.961,322.8664,219.1307,-237.1169,-0.6787041,72.57038,1.148864
37078,110110000,2023-12-05 09:01:20.262,1.3919,231.961,322.8664,219.1307,-237.1169,-0.6787041,72.57038,1.148864
37079,110110000,2023-12-05 09:01:20.958,1.434711,231.9218,332.7407,224.3043,-245.7721,-0.6741115,71.40237,1.634107
37080,110110000,2023-12-05 09:01:21.406,1.434711,231.9218,332.7407,224.3043,-245.7721,0.6834461,71.40237,1.634107
37081,110110000,2023-12-05 09:01:22.310,1.380278,231.9301,320.1279,219.7753,-232.7675,-0.6865233,72.94823,1.517959
37082,110110000,2023-12-05 09:01:22.854,1.42087,231.902,329.5026,219.5591,-245.6945,-0.6663349,72.21707,1.507231
37083,110110000,2023-12-05 09:01:23.346,1.42087,231.902,329.5026,219.5591,-245.6945,0.6750389,72.21707,1.507231
37084,110110000,2023-12-05 09:01:24.252,1.419288,231.8923,329.1219,223.1938,-241.8797,-0.6781491,71.79763,1.562772
37085,110110000,2023-12-05 09:01:25.153,1.407371,231.82,326.2569,222.739,-238.3923,-0.6827106,72.63789,1.442143
37086,110110000,2023-12-05 09:01:25.701,1.40192,231.8888,325.0895,219.0028,-240.2518,-0.6736693,72.11178,0.8643774
37087,110110000,2023-12-05 09:01:26.237,1.40192,231.8888,325.0895,219.0028,-240.2518,0.6760057,72.11178,0.8643774
37088,110110000,2023-12-05 09:01:27.103,1.445416,231.7213,334.9337,227.4575,-245.8529,-0.6791121,46.73842,1.722287
37089,110110000,2023-12-05 09:01:27.763,2.921834,231.6333,676.794,358.208,574.2274,0.5292718,46.73842,1.722287
37090,110110000,2023-12-05 09:01:28.390,4.6915,231.3535,1085.395,520.1315,952.6517,0.4792095,49.59516,1.483104
37091,110110000,2023-12-05 09:01:29.011,3.185699,231.4436,737.3097,402.8949,617.496,0.5464392,51.34319,1.031821
